session,belt_speed,vfd_frequency,expected_speed,speed_deviation,temperature,current,items_count,maintenance_done_today,days_since_maintenance,interventions_30d,rul,alerts_today
1,0.783,50,0.8,-0.017,54.5,1.74,26,0,1,0,90.0,0
2,0.53,35,0.56,-0.03,60.0,2.4,47,0,2,0,88.0,1
3,0.631,40,0.64,-0.009,48.6,2.23,27,0,3,0,86.0,0
4,0.817,50,0.8,0.017,52.6,2.09,34,0,4,0,84.0,0
5,0.804,50,0.8,0.004,55.0,2.16,26,0,5,0,82.0,1
6,0.775,50,0.8,-0.025,55.2,1.87,47,0,6,0,80.0,1
7,0.803,50,0.8,0.003,53.2,2.59,37,0,7,0,78.0,0
8,0.648,40,0.64,0.008,57.5,2.13,37,0,8,0,76.0,2
9,0.622,40,0.64,-0.018,50.7,2.12,42,0,9,0,74.0,1
10,0.643,40,0.64,0.003,54.4,2.25,27,0,10,0,72.0,2
11,0.801,50,0.8,0.001,55.5,2.2,31,0,11,0,70.0,0
12,0.537,35,0.56,-0.023,57.1,2.14,38,0,12,0,68.0,1
13,0.647,40,0.64,0.007,57.8,1.94,44,0,13,0,66.0,2
14,0.811,50,0.8,0.011,50.5,2.19,41,0,14,0,64.0,1
15,0.822,50,0.8,0.022,48.9,2.48,45,1,0,1,90.0,0
16,0.821,50,0.8,0.021,60.1,2.37,36,0,1,1,88.0,0
17,0.772,50,0.8,-0.028,56.3,2.42,49,0,2,1,86.0,0
18,0.781,50,0.8,-0.019,52.0,2.0,40,0,3,1,84.0,0
19,0.81,50,0.8,0.01,61.2,1.9,48,0,4,1,82.0,1
20,0.81,50,0.8,0.01,55.5,2.07,36,0,5,1,80.0,2
21,0.65,40,0.64,0.01,59.7,2.11,39,0,6,1,78.0,0
22,0.877,50,0.8,0.077,55.3,2.32,49,0,7,1,76.0,0
23,0.811,50,0.8,0.011,63.2,1.76,34,0,8,1,74.0,2
24,0.823,50,0.8,0.023,62.0,2.41,49,0,9,1,72.0,0
25,0.819,50,0.8,0.019,54.0,2.07,31,0,10,1,70.0,0
26,0.653,40,0.64,0.013,58.9,2.01,44,0,11,1,68.0,2
27,0.794,50,0.8,-0.006,57.6,1.9,29,0,12,1,66.0,2
28,0.815,50,0.8,0.015,60.5,1.77,25,0,13,1,64.0,2
29,0.785,50,0.8,-0.015,51.1,2.26,41,0,14,1,62.0,2
30,0.795,50,0.8,-0.005,57.7,2.11,27,1,0,2,90.0,1
31,0.63,40,0.64,-0.01,59.2,1.84,37,0,1,2,88.0,0
32,0.802,50,0.8,0.002,48.0,1.84,38,0,2,2,86.0,1
33,0.846,50,0.8,0.046,50.3,2.03,48,0,3,2,84.0,1
34,0.523,35,0.56,-0.037,46.8,2.43,42,0,4,2,82.0,1
